Fartøy ID,Siste fangstdato,Lokasjon (kode),Lon (lokasjon),Lat (lokasjon),Art,Art - gruppe,Rundvekt,date
2003020085.0,25.06.2008,16.0,5.37624,59.23466,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",74.2,2008-06-25
1987012189.0,23.10.2020,41.0,17.42042,68.91069,Hyse,Hyse,252.0,2020-10-23
,07.02.2015,23.0,22.5,71.25,Sei,Sei,0.0,2015-07-02
1980008546.0,20.12.2001,19.0,6.23771,59.3805,Lyr,Annen torskefisk,17.3,2001-12-20
2020113074.0,22.03.2021,20.0,10.5,59.25,Sjøkreps,"Andre skalldyr, bløtdyr og pigghuder",2.0,2021-03-22
1979001533.0,06.07.2005,26.0,25.37756,71.13554,Hyse,Hyse,17.1,2005-06-07
1997009082.0,20.07.2004,3.0,4.47778,61.2617,Gråsteinbit,Steinbiter,13.2,2004-07-20
1996002502.0,05.01.2008,2.0,19.5,70.25,Uer (vanlig),Uer,2.0,2008-05-01
2012059554.0,15.07.2021,33.0,5.59752,62.21811,Torsk,Torsk,5.9,2021-07-15
,14.09.2000,3.0,20.4513,70.26784,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",4.4,2000-09-14
,25.07.2016,11.0,27.51996,71.21473,Sei,Sei,2.7,2016-07-25
1999008330.0,28.05.2009,18.0,11.56914,65.22203,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",12.7,2009-05-28
1994001146.0,08.04.2015,12.0,8.49357,58.26584,Torsk,Torsk,0.0,2015-08-04
1992004299.0,29.11.2016,17.0,6.56095,58.25116,Hyse,Hyse,0.0,2016-11-29
1996012636.0,20.07.2011,17.0,6.56095,58.25116,Sei,Sei,6.6,2011-07-20
,17.01.2000,20.0,29.0,72.5,Torsk,Torsk,1986.0,2000-01-17
1991010801.0,28.04.2006,26.0,25.37756,71.13554,Torsk,Torsk,235.5,2006-04-28
2006035805.0,07.05.2007,27.0,21.79904,69.83414,Sei,Sei,70.2,2007-07-05
1987009411.0,17.11.2003,3.0,4.47778,61.2617,Lange,Annen torskefisk,2.8,2003-11-17
2014065952.0,27.02.2020,7.0,5.5,57.75,Smørflyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",13.2,2020-02-27
1989003803.0,14.03.2013,33.0,12.68927,66.25914,Dypvannsreke,Dypvannsreke,107.0,2013-03-14
1996008694.0,01.10.2005,16.0,,,Lyr,Annen torskefisk,278.3,2005-01-10
1997007395.0,10.03.2007,24.0,15.47374,69.26583,Torsk,Torsk,1854.0,2007-10-03
2001015521.0,17.11.2013,5.0,25.0,76.25,Flekksteinbit,Steinbiter,0.0,2013-11-17
2019111873.0,14.08.2020,8.0,6.5,57.75,Annen skate og rokke,Skater og annen bruskfisk,5.0,2020-08-14
1999002713.0,30.09.2021,34.0,16.5,70.25,Norsk vårgytende sild,"Sild, norsk vårgytende",15339.0,2021-09-30
1994009874.0,06.08.2002,8.0,8.4814,63.76938,Torsk,Torsk,112.5,2002-06-08
,28.04.2004,8.0,8.4814,63.76938,Stort kamskjell (Kamskjell),"Andre skalldyr, bløtdyr og pigghuder",337.0,2004-04-28
1998011348.0,16.06.2001,28.0,15.5,69.75,Blåkveite,Blåkveite,0.0,2001-06-16
1994012421.0,06.11.2017,16.0,9.5,58.75,Dypvannsreke,Dypvannsreke,0.0,2017-06-11
1987005096.0,07.03.2008,19.0,13.5,68.75,Hyse,Hyse,21.7,2008-07-03
,19.07.2010,13.0,14.0,76.75,Blåkveite,Blåkveite,0.0,2010-07-19
1997009072.0,01.03.2002,14.0,12.5,68.25,Sei,Sei,518.4,2002-01-03
1987000439.0,05.05.2014,27.0,11.5,66.25,Lange,Annen torskefisk,14.0,2014-05-05
,07.08.2001,31.0,18.45225,69.80871,Hyse,Hyse,5.6,2001-07-08
1974007649.0,19.10.2006,32.0,13.51657,66.70542,Torsk,Torsk,7.5,2006-10-19
,22.11.2000,44.0,15.61145,68.27428,Norsk vårgytende sild,"Sild, norsk vårgytende",32346.0,2000-11-22
1982005981.0,08.08.2002,20.0,14.56401,68.75918,Sei,Sei,155.3,2002-08-08
1999009719.0,28.09.2019,25.0,9.61139,63.78643,Lange,Annen torskefisk,36.4,2019-09-28
1987004391.0,08.04.2019,25.0,24.52052,71.23199,Torsk,Torsk,1135.0,2019-08-04
,02.03.2020,7.0,7.49065,63.24359,Sei,Sei,4.05,2020-02-03
1989010876.0,01.03.2010,42.0,16.01984,68.79785,Brosme,Annen torskefisk,1.4,2010-01-03
1986012788.0,19.04.2002,8.0,6.5,57.75,Dypvannsreke,Dypvannsreke,799.0,2002-04-19
2009045928.0,28.06.2017,2.0,29.74327,69.93406,Torsk,Torsk,1205.0,2017-06-28
1999009259.0,18.02.2020,10.0,13.41423,67.82298,Torsk,Torsk,0.0,2020-02-18
1993001257.0,27.11.2020,16.0,9.5,58.75,Dypvannsreke,Dypvannsreke,0.0,2020-11-27
1989010547.0,01.03.2016,30.0,17.491,69.74206,Torsk,Torsk,,2016-01-03
2009048129.0,16.04.2021,2.0,4.51988,60.76585,Sei,Sei,190.35,2021-04-16
1988002568.0,14.11.2003,2.0,19.5,70.25,Torsk,Torsk,93.0,2003-11-14
1997004215.0,17.03.2005,23.0,22.5,71.25,Torsk,Torsk,19905.0,2005-03-17
1998012504.0,25.06.2013,20.0,10.5,59.25,Sei,Sei,96.0,2013-06-25
,12.02.2019,31.0,6.5624,62.76533,Hyse,Hyse,39.9,2019-12-02
1998007816.0,28.02.2008,24.0,15.47374,69.26583,Sei,Sei,78.3,2008-02-28
1990007110.0,12.03.2003,46.0,14.56579,68.15924,Torsk,Torsk,,2003-12-03
1997008560.0,01.02.2002,1.0,5.5,58.25,Pigghå,Haifisk,3.0,2002-01-02
2001015841.0,23.04.2020,8.0,8.4814,63.76938,Pigghå,Haifisk,35.0,2020-04-23
2010051388.0,18.03.2015,16.0,9.5,58.75,Rødspette,"Annen flatfisk, bunnfisk og dypvannsfisk",0.6,2015-03-18
1984012544.0,26.02.2004,20.0,10.5,59.25,Hyse,Hyse,2.9,2004-02-26
1996007882.0,02.02.2002,35.0,17.5,70.25,Uer (vanlig),Uer,2.0,2002-02-02
1999012621.0,28.09.2005,25.0,7.5,57.75,Torsk,Torsk,24.0,2005-09-28
1998001405.0,04.06.2004,6.0,29.42593,70.64198,Torsk,Torsk,25.5,2004-04-06
1997002119.0,31.05.2011,3.0,31.5,70.25,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",46.2,2011-05-31
1998013077.0,28.09.2020,20.0,10.5,59.25,Slettvar,"Annen flatfisk, bunnfisk og dypvannsfisk",1.21,2020-09-28
2018107433.0,14.05.2020,25.0,9.61139,63.78643,Sjøkreps,"Andre skalldyr, bløtdyr og pigghuder",31.0,2020-05-14
2002018561.0,08.06.2018,12.0,8.49357,58.26584,Lyr,Annen torskefisk,1.15,2018-08-06
1985011660.0,19.03.2005,30.0,17.491,69.74206,Torsk,Torsk,,2005-03-19
1995011861.0,16.02.2009,2.0,19.5,70.25,Torsk,Torsk,9.0,2009-02-16
1994010358.0,16.11.2010,30.0,17.491,69.74206,Brosme,Annen torskefisk,65.8,2010-11-16
2020115174.0,04.08.2021,3.0,20.4513,70.26784,Sei,Sei,850.5,2021-04-08
2008043688.0,09.04.2018,15.0,5.22302,59.73966,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",13.16,2018-09-04
2015070253.0,18.05.2021,16.0,9.5,58.75,Rødspette,"Annen flatfisk, bunnfisk og dypvannsfisk",1.1,2021-05-18
2014065873.0,07.12.2018,5.0,0.5,57.75,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",108.0,2018-07-12
1999000863.0,02.04.2018,31.0,-1.5,59.25,Lomre,"Annen flatfisk, bunnfisk og dypvannsfisk",48.13,2018-02-04
2003024486.0,19.05.2009,9.0,9.5,57.75,Torsk,Torsk,3.5,2009-05-19
1983000369.0,16.05.2001,17.0,6.56095,58.25116,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",1.4,2001-05-16
1995003791.0,06.01.2014,7.0,7.49065,63.24359,Sei,Sei,29.7,2014-06-01
2000013887.0,07.12.2001,15.0,5.22302,59.73966,Sei,Sei,725.0,2001-07-12
1975010906.0,04.03.2010,3.0,20.4513,70.26784,Hyse,Hyse,5.6,2010-04-03
1982009106.0,31.03.2008,4.0,4.5,61.75,Hyse,Hyse,38.8,2008-03-31
1983000499.0,02.02.2011,30.0,17.491,69.74206,Torsk,Torsk,4128.0,2011-02-02
2008043631.0,05.08.2008,16.0,5.37624,59.23466,Dypvannsreke,Dypvannsreke,800.0,2008-05-08
2003025965.0,17.04.2021,19.0,13.5,68.75,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",33.75,2021-04-17
1991009695.0,31.01.2021,18.0,11.56914,65.22203,Torsk,Torsk,93.0,2021-01-31
2011053909.0,15.10.2019,23.0,0.5,58.75,Strømsild,Vassild og strømsild,2775.0,2019-10-15
,20.10.2000,20.0,10.5,59.25,Torsk,Torsk,14.2,2000-10-20
1997009232.0,04.02.2016,4.0,22.0,71.75,Flekksteinbit,Steinbiter,198.0,2016-04-02
,11.05.2000,1.0,5.5,58.25,Lysing,Annen torskefisk,3.6,2000-11-05
1999007181.0,17.03.2008,11.0,21.54827,70.73675,Torsk,Torsk,,2008-03-17
,01.04.2000,46.0,14.56579,68.15924,Torsk,Torsk,898.5,2000-01-04
1988009016.0,02.05.2019,82.0,-0.5,61.75,Sei,Sei,110.7,2019-02-05
1999001805.0,14.06.2008,1.0,18.5,70.25,Blåkveite,Blåkveite,,2008-06-14
1963006956.0,01.09.2003,23.0,14.5,69.25,Torsk,Torsk,465.0,2003-01-09
1976006108.0,12.01.2004,15.0,13.44548,68.29821,Torsk,Torsk,,2004-12-01
1998002288.0,21.03.2015,30.0,17.491,69.74206,Torsk,Torsk,1026.0,2015-03-21
2012057493.0,04.03.2017,3.0,20.4513,70.26784,Hyse,Hyse,5.6,2017-04-03
1985009480.0,07.03.2007,32.0,13.51657,66.70542,Hyse,Hyse,1.4,2007-07-03
1996001656.0,01.11.2012,11.0,21.54827,70.73675,Brosme,Annen torskefisk,9.8,2012-01-11
1990005807.0,15.10.2012,4.0,12.33333,67.33333,Sei,Sei,25.7,2012-10-15
,14.03.2018,33.0,12.68927,66.25914,Torsk,Torsk,30.68,2018-03-14
1987001262.0,03.05.2017,12.0,8.49357,58.26584,Brosme,Annen torskefisk,9.8,2017-03-05
2001016401.0,01.07.2018,15.0,31.5,71.25,Sei,Sei,10162.8,2018-01-07
2003024985.0,25.02.2004,20.0,10.5,59.25,Torsk,Torsk,21.2,2004-02-25
1998013077.0,16.03.2016,20.0,10.5,59.25,Dypvannsreke,Dypvannsreke,311.0,2016-03-16
2007039131.0,04.03.2018,8.0,8.4814,63.76938,Stort kamskjell (Kamskjell),"Andre skalldyr, bløtdyr og pigghuder",395.0,2018-04-03
1975012814.0,20.04.2006,25.0,7.5,57.75,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",30.8,2006-04-20
1999012753.0,04.05.2005,25.0,7.5,57.75,Sei,Sei,150.0,2005-04-05
1986012788.0,21.03.2001,8.0,6.5,57.75,Sei,Sei,9.6,2001-03-21
1977009453.0,30.07.2002,4.0,4.5,61.75,Lysing,Annen torskefisk,15.6,2002-07-30
1994012956.0,14.03.2001,12.0,8.49357,58.26584,Hyse,Hyse,5.1,2001-03-14
1999009719.0,30.09.2008,25.0,9.61139,63.78643,Uer (vanlig),Uer,127.0,2008-09-30
1998003628.0,29.09.2005,64.0,1.5,60.75,Uspesifisert fisk,"Annen flatfisk, bunnfisk og dypvannsfisk",,2005-09-29
1979013053.0,09.09.2009,20.0,10.5,59.25,Ål,"Annen flatfisk, bunnfisk og dypvannsfisk",23.0,2009-09-09
1996008627.0,02.11.2006,19.0,,,Sei,Sei,812.7,2006-02-11
,26.05.2000,33.0,12.68927,66.25914,Brosme,Annen torskefisk,459.2,2000-05-26
1987004725.0,14.01.2013,33.0,5.59752,62.21811,Sei,Sei,918.0,2013-01-14
2002017624.0,27.01.2012,0.0,,,Stort kamskjell (Kamskjell),"Andre skalldyr, bløtdyr og pigghuder",300.0,2012-01-27
1987000383.0,31.07.2003,12.0,10.50548,64.74619,Torsk,Torsk,58.5,2003-07-31
1998001813.0,17.04.2015,25.0,16.61634,69.26902,Hyse,Hyse,163.0,2015-04-17
1987007175.0,06.02.2012,4.0,12.33333,67.33333,Torsk,Torsk,1200.0,2012-06-02
1997001626.0,21.08.2015,2.0,19.5,70.25,Torsk,Torsk,16.5,2015-08-21
1993010153.0,24.02.2011,30.0,17.491,69.74206,Torsk,Torsk,,2011-02-24
1997008778.0,19.09.2003,10.0,4.5,58.25,Dypvannsreke,Dypvannsreke,30.0,2003-09-19
,19.10.2005,12.0,8.49357,58.26584,Ål,"Annen flatfisk, bunnfisk og dypvannsfisk",47.0,2005-10-19
2012058408.0,10.05.2017,12.0,8.49357,58.26584,Rødspette,"Annen flatfisk, bunnfisk og dypvannsfisk",1.1,2017-10-05
1995011230.0,13.12.2021,27.0,21.79904,69.83414,Torsk,Torsk,9.0,2021-12-13
1986009731.0,03.05.2006,13.0,23.48981,70.7379,Torsk,Torsk,94.5,2006-03-05
1980010713.0,30.01.2001,41.0,17.42042,68.91069,Lyr,Annen torskefisk,6.5,2001-01-30
2002018442.0,11.01.2016,30.0,17.491,69.74206,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",8.1,2016-11-01
1976006376.0,07.03.2007,10.0,13.41423,67.82298,Uer (vanlig),Uer,11.0,2007-07-03
,23.03.2002,4.0,12.33333,67.33333,Torsk,Torsk,,2002-03-23
1989005609.0,14.09.2001,24.0,15.47374,69.26583,Hyse,Hyse,161.0,2001-09-14
2006036265.0,18.06.2018,6.0,9.5,67.75,Blåkveite,Blåkveite,2579.0,2018-06-18
1964012128.0,23.04.2003,30.0,17.491,69.74206,Brosme,Annen torskefisk,9.8,2003-04-23
1994002569.0,31.08.2001,10.0,26.46578,71.23915,Brosme,Annen torskefisk,478.8,2001-08-31
1987011920.0,02.02.2002,39.0,19.33211,69.54236,Brosme,Annen torskefisk,15.4,2002-02-02
1982010225.0,11.01.2001,23.0,14.5,69.25,Sei,Sei,8.1,2001-11-01
1984010563.0,31.03.2014,11.0,21.54827,70.73675,Torsk,Torsk,3300.0,2014-03-31
1988002075.0,20.05.2020,6.0,29.42593,70.64198,Uer (vanlig),Uer,4.0,2020-05-20
,02.04.2000,48.0,13.71385,68.08439,Hyse,Hyse,400.4,2000-02-04
1993005654.0,25.01.2012,23.0,22.5,71.25,Torsk,Torsk,59979.0,2012-01-25
1985005994.0,29.04.2005,25.0,16.61634,69.26902,Brosme,Annen torskefisk,1.4,2005-04-29
1999000687.0,06.06.2011,0.0,,,Brosme,Annen torskefisk,107.8,2011-06-06
1981001989.0,13.01.2006,11.0,21.54827,70.73675,Sei,Sei,17.6,2006-01-13
1997012586.0,14.01.2009,12.0,8.49357,58.26584,Lange,Annen torskefisk,7.8,2009-01-14
1994000656.0,23.08.2004,20.0,10.5,59.25,Dypvannsreke,Dypvannsreke,78.5,2004-08-23
1998003827.0,28.04.2014,11.0,14.53782,67.75442,Hyse,Hyse,25.2,2014-04-28
1996009857.0,23.09.2013,6.0,9.55392,64.22308,Torsk,Torsk,18.0,2013-09-23
1995011672.0,24.04.2007,3.0,20.4513,70.26784,Gråsteinbit,Steinbiter,13.2,2007-04-24
1999003084.0,21.04.2008,25.0,7.5,57.75,Sei,Sei,8.4,2008-04-21
2008043869.0,25.03.2012,6.0,5.5,62.75,Hyse,Hyse,117.4,2012-03-25
1974004165.0,15.05.2001,53.0,2.5,61.25,Lysing,Annen torskefisk,272.4,2001-05-15
1990010087.0,01.02.2015,24.0,15.47374,69.26583,Torsk,Torsk,59.0,2015-01-02
,15.12.2003,0.0,,,Gapeflyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",0.0,2003-12-15
2011052988.0,25.05.2011,3.0,20.4513,70.26784,Sei,Sei,29.7,2011-05-25
1979007114.0,09.03.2018,50.0,13.66667,67.61111,Torsk,Torsk,0.0,2018-09-03
,30.04.2000,8.0,8.4814,63.76938,Brosme,Annen torskefisk,30.8,2000-04-30
1988013144.0,19.06.2006,20.0,10.5,59.25,Lange,Annen torskefisk,8.4,2006-06-19
1994000454.0,04.12.2021,24.0,15.47374,69.26583,Torsk,Torsk,270.0,2021-04-12
,01.03.2016,31.0,6.5624,62.76533,Torsk,Torsk,2.4,2016-01-03
,28.03.2003,4.0,4.5,61.75,Rødspette,"Annen flatfisk, bunnfisk og dypvannsfisk",4.4,2003-03-28
1987011480.0,22.03.2012,2.0,19.5,70.25,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",50.0,2012-03-22
1983004220.0,05.06.2019,7.0,7.49065,63.24359,Torsk,Torsk,9.0,2019-05-06
1986010772.0,25.05.2012,12.0,22.55833,70.7874,Rognkjeks (hun),"Annen flatfisk, bunnfisk og dypvannsfisk",17430.0,2012-05-25
1979004418.0,26.08.2014,34.0,6.21667,62.44167,Lysing,Annen torskefisk,9.6,2014-08-26
1997013064.0,06.02.2003,17.0,10.5,58.75,Torsk,Torsk,43.1,2003-06-02
1996000076.0,22.12.2021,17.0,6.56095,58.25116,Akkar,"Andre skalldyr, bløtdyr og pigghuder",11.0,2021-12-22
2018107777.0,07.08.2021,30.0,17.491,69.74206,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",42.0,2021-07-08
2017074933.0,24.09.2017,75.0,5.5,57.25,Gråsteinbit,Steinbiter,25.3,2017-09-24
1986012412.0,26.09.2013,16.0,9.5,58.75,Hyse,Hyse,3.4,2013-09-26
1982012921.0,15.10.2008,25.0,7.5,57.75,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",12.0,2008-10-15
1999012753.0,27.05.2009,1.0,5.5,58.25,Dypvannsreke,Dypvannsreke,1447.0,2009-05-27
1967011839.0,10.02.2014,30.0,17.491,69.74206,Torsk,Torsk,8352.0,2014-10-02
2008045229.0,18.06.2010,74.0,4.5,57.25,Smørflyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",2.2,2010-06-18
1979013181.0,02.01.2014,20.0,10.5,59.25,Smørflyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",1.1,2014-02-01
1992002817.0,04.10.2010,11.0,27.51996,71.21473,Brosme,Annen torskefisk,49.0,2010-04-10
1986008139.0,19.02.2017,23.0,14.5,69.25,Gråsteinbit,Steinbiter,3.3,2017-02-19
